idn,Haupttitel,Verlagsname,Erscheinungsort,author.name,author.vorname,sprache.text,sprache.original,lat,long
964200422,La @vida de Errico Malatesta,[Tierra y Libertad],[México],Nettlau,Max,spa,NA,19.4326296,-99.1331785
"96436073X,""The @age of Neanderthal man with notes on the Cotte de St. Brelade Jersey, C.I."",Inst. of Archaeology,London,Zeuner,Frederick Everard,eng,NA,51.5073219,-0.1276474"
964826828,Circunstancias difíciles,de @Caralt,Barcelona,Werfel,Franz,spa,ger,41.3828939,2.1774322
965376052,La @puerta de las cinco felicidades,Novelas y Cuentos,Madrid,Meckauer,Walter,spa,ger,40.4167047,-3.7035825
965986756,Descriptions of twenty-five new species and subspecies,American Museum of Natural History,New York,Mayr,Ernst,eng,NA,40.7127281,-74.0060152
965986829,Two new subspecies of birds from New Guinea,American Museum of Natural History,New York,Mayr,Ernst,eng,NA,40.7127281,-74.0060152
96598690X,New subspecies of birds from the New Guinea region,American Museum of Natural History,New York,Mayr,Ernst,eng,NA,40.7127281,-74.0060152
"965987752,A @review of the dicaeidae,American Museum of Natural History,""New York, NY"",Mayr,Ernst,eng,NA,25.214103950000002,55.15085102248102"
97429716X,Nürnberg 1937,[Siko],[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
975994964,Zur Geschichte der Philosophie,Zentrale für das Bildungswesen der DSAP in der ČSR,Prag,Mehring,Franz,ger,NA,50.0874654,14.4212535
978538803,An @economic history of Japan,Asiatic Soc. of Japan,Tokyo,Tsuchiya,Takao,eng,jpn,35.6828387,139.7594549
978770552,The @terraces of the Upper Rhine and the age of the Magdalenian,Univ. of London,London,Kimball,Day,eng,NA,51.5073219,-0.1276474
981103464,Regional conflicts around Geneva,Stanford Univ. Press,London,Bozeman,Adda B.,eng,NA,51.5073219,-0.1276474
"981103464,Regional conflicts around Geneva,""Cumberlege, Oxford University Press"",London,Bozeman,Adda B.,eng,NA,51.5073219,-0.1276474"
981112544,German experience with social insurance,National Industrial Conference Board,New York,Sulzbach,Walter,eng,NA,40.7127281,-74.0060152
982294484,Die @Werkherrschaft,Ankara Universitesı,Ankara,Hirsch,Ernst E.,ger,NA,39.9207886,32.8540482
982294484,Die @Werkherrschaft,Ankara Universitesı,Ankara,Hirsch,Ernst E.,tur,NA,39.9207886,32.8540482
"983121788,The @physico-chemical mechanism of nerve activity,New York Acad. of Sciences,""New York, NY"",NA,NA,eng,NA,25.214103950000002,55.15085102248102"
983826110,The @humanities look ahead,Stanford Univ. Press,London,NA,NA,eng,NA,51.5073219,-0.1276474
983826110,The @humanities look ahead,Cumberlege,London,NA,NA,eng,NA,51.5073219,-0.1276474
"985390115,The @United States and the Atlantic Community,""Columbia Univ., Acad. of Political Science"",""New York, NY"",NA,NA,eng,NA,25.214103950000002,55.15085102248102"
"987811045,""Hans Larsson als europäischer Geschichts-, Rechts- und Staatsphilosoph"",Gleerup,Lund,Wittenberg,Erich,ger,NA,55.7029296,13.1929449"
"987811193,Ireland's place on the Chivalresque literature of mediaeval Germany,""Hodges, Figgis & Co."",Dublin,Hennig,John,eng,NA,53.3498006,-6.2602964"
987819313,Geographical variation in Accipiter trivirgatus,American Museum of Natural History,New York,Mayr,Ernst,eng,NA,40.7127281,-74.0060152
"98861541X,Non-linear problems in mechanics of continua,American Mathematical Soc.,""New York, NY"",NA,NA,eng,NA,25.214103950000002,55.15085102248102"
"989896005,Fluid dynamics and applications,""New York Univ., College of Engineering"",""New York, NY"",Friedrichs,Kurt O.,eng,NA,25.214103950000002,55.15085102248102"
99224546X,Evidence on the reign of racialism in Czechoslovakia,Sidders,London,NA,NA,NA,NA,51.5073219,-0.1276474
992479770,76. [Sechsundsiebzigster] Jahres-Kongreß des britischen Gewerkschaftsbundes,Trade-Union Centre for German Workers in Great Britain,London,Gottfurcht,Hans,NA,NA,51.5073219,-0.1276474
"993228321,Israel of tomorrow,Herald Square Pr.,""New York, NY"",NA,NA,eng,NA,25.214103950000002,55.15085102248102"
